"Weight" "Diagonal"
242 4.02
290 4.3056
340 4.6961
363 4.4555
430 5.134
450 4.9274
500 5.2785
390 4.69
450 4.8438
500 4.9594
475 5.1042
500 4.8146
500 4.368
340 5.0728
600 5.1708
600 5.58
700 5.2854
700 5.1975
610 5.1338
650 5.7276
575 5.5695
685 5.3704
620 5.2801
680 6.1306
700 5.589
725 6.0532
720 6.09
714 5.8515
850 6.1984
1000 6.603
920 6.3063
955 6.292
925 6.7497
975 6.7473
950 6.3705
40 2.268
69 2.8217
78 2.9044
87 3.1746
120 3.5742
0 3.3516
110 3.3957
120 3.2943
150 3.7544
145 3.5478
160 3.8203
140 3.325
160 3.8
169 3.8352
161 3.6312
200 4.1272
180 3.906
290 4.4968
272 4.7736
390 5.355
270 4.2476
270 4.2485
306 4.6816
540 6.562
800 6.5736
1000 6.525
55 2.3265
60 2.3142
90 2.673
120 2.9181
150 3.2928
140 3.2944
170 3.4104
145 3.1571
200 3.6636
273 4.144
300 4.234
5.9 1.408
32 1.9992
40 2.432
51.5 2.6316
70 2.9415
100 3.3216
78 3.1234
80 3.0502
85 3.0368
85 2.772
110 3.555
115 3.3075
125 3.6675
130 3.534
120 3.4075
120 3.525
130 3.525
135 3.525
110 3.995
130 3.624
150 3.624
145 3.63
150 3.626
170 3.725
225 3.723
145 3.825
188 4.1658
180 3.6835
197 4.239
218 4.144
300 5.1373
260 4.335
265 4.335
250 4.5662
250 4.2042
300 4.6354
320 4.7716
514 6.018
556 6.3875
840 7.7957
685 6.864
700 6.7408
700 6.2646
690 6.3666
900 7.4934
650 6.003
820 7.3514
850 7.1064
900 7.225
1015 7.4624
820 6.63
1100 6.8684
1000 7.2772
1100 7.4165
1000 8.142
1000 7.5958
200 3.3756
300 4.158
300 4.3844
300 4.0198
430 4.5765
345 3.977
456 4.3225
510 4.459
540 5.1296
500 4.896
567 4.87
770 5.376
950 6.1712
1250 6.9849
1600 6.144
1550 6.144
1650 7.48
6.7 1.0476
7.5 1.16
7 1.1484
9.7 1.38
9.8 1.2772
8.7 1.2852
10 1.2838
9.9 1.1659
9.8 1.1484
12.2 1.3936
13.4 1.269
12.2 1.2558
19.7 2.0672
19.9 1.8792
