"Mark" "Section"
64 "A"
68 "A"
86 "A"
71 "A"
71 "A"
87 "A"
75 "A"
57 "A"
63 "A"
66 "A"
82 "A"
74 "A"
74 "A"
71 "A"
64 "A"
88 "A"
75 "A"
50 "A"
77 "A"
65 "A"
59 "A"
68 "A"
60 "A"
63 "A"
64 "A"
53 "A"
78 "A"
72 "A"
59 "A"
83 "A"
74 "A"
67 "A"
79 "A"
79 "A"
78 "A"
77 "A"
76 "A"
69 "A"
67 "A"
66 "A"
63 "A"
68 "A"
57 "A"
92 "A"
82 "A"
59 "A"
66 "A"
65 "A"
78 "A"
69 "A"
73 "A"
70 "A"
70 "A"
84 "A"
68 "A"
85 "A"
55 "A"
76 "A"
71 "A"
72 "A"
74 "A"
65 "A"
67 "A"
60 "A"
59 "A"
73 "A"
74 "A"
71 "A"
79 "A"
91 "A"
65 "A"
47 "A"
80 "A"
63 "A"
63 "A"
80 "A"
67 "A"
58 "A"
72 "A"
69 "A"
70 "A"
74 "A"
66 "A"
76 "A"
68 "A"
73 "A"
81 "A"
74 "A"
67 "A"
81 "A"
80 "A"
75 "A"
72 "A"
64 "A"
84 "A"
64 "A"
92 "A"
85 "A"
68 "A"
60 "A"
63 "A"
73 "A"
68 "A"
67 "A"
60 "A"
70 "A"
62 "A"
53 "A"
66 "A"
79 "A"
64 "A"
76 "A"
54 "A"
69 "A"
75 "A"
73 "A"
71 "A"
64 "A"
62 "A"
60 "A"
69 "B"
59 "B"
63 "B"
65 "B"
86 "B"
61 "B"
70 "B"
69 "B"
58 "B"
67 "B"
82 "B"
73 "B"
68 "B"
64 "B"
47 "B"
79 "B"
53 "B"
75 "B"
87 "B"
54 "B"
75 "B"
65 "B"
52 "B"
53 "B"
52 "B"
63 "B"
53 "B"
75 "B"
89 "B"
55 "B"
76 "B"
76 "B"
71 "B"
58 "B"
67 "B"
65 "B"
74 "B"
64 "B"
78 "B"
64 "B"
79 "B"
58 "B"
55 "B"
100 "B"
64 "B"
71 "B"
74 "B"
63 "B"
73 "B"
72 "B"
66 "B"
69 "B"
68 "B"
89 "B"
61 "B"
57 "B"
68 "B"
71 "B"
72 "B"
63 "B"
57 "B"
81 "B"
65 "B"
59 "B"
66 "B"
66 "B"
79 "B"
69 "B"
76 "B"
63 "B"
70 "B"
65 "B"
69 "B"
59 "B"
55 "B"
88 "B"
74 "B"
55 "B"
62 "B"
56 "B"
90 "B"
81 "B"
65 "B"
73 "B"
64 "B"
63 "B"
60 "B"
62 "B"
85 "B"
67 "B"
69 "B"
70 "B"
80 "B"
63 "B"
58 "B"
85 "B"
64 "B"
61 "B"
56 "B"
55 "B"
62 "B"
74 "B"
79 "B"
75 "B"
64 "B"
69 "B"
61 "B"
61 "B"
77 "B"
58 "B"
88 "B"
67 "B"
70 "B"
61 "B"
62 "B"
55 "B"
66 "B"
72 "B"
71 "B"
60 "B"
