"Sample" "Number"
1 1
2 3
3 2
4 4
5 4
6 0
7 2
8 4
9 2
10 2
11 5
12 2
13 3
14 2
15 0
16 4
17 1
18 0
19 1
20 5
21 4
22 3
23 2
24 6
25 2
26 3
27 15
28 2
29 1
30 1
31 5
32 4
33 3
34 3
35 0
36 2
37 3
38 1
39 1
40 1
41 1
42 2
43 2
44 1
45 1
46 1
47 1
48 2
49 1
50 4
51 0
52 2
53 3
54 0
55 2
56 1
57 0
58 3
59 4
60 1
61 2
62 0
63 1
64 1
65 3
66 2
67 3
68 3
69 3
70 2
71 3
72 2
73 3
74 0
75 2
76 1
77 1
78 2
79 1
80 0
81 1
82 2
